tipo;ticker;cnpj;nome
Ação;ABCB4;28.195.667/0001-06;ABC BRASIL
Ação;ABEV3;07.526.557/0001-00;AMBEV S/A
Ação;ALUP11;08.364.948/0001-38;ALUPAR
Ação;ARZZ3;16.590.234/0001-76;AREZZO CO
Ação;BBAS3;00.000.000/0001-91;BANCO DO BRASIL
Ação;CIEL3;01.027.058/0001-91;CIELO
Ação;CSAN3;50.746.577/0001-15;COSAN
Ação;CSMG3;17.281.106/0001-03;COPASA
Ação;CSNA3;33.042.730/0001-04;SID NACIONAL
Ação;CVCB3;10.760.260/0001-19;CVC BRASIL
Ação;EGIE3;02.474.103/0001-19;ENGIE BRASIL
Ação;FLRY3;60.840.055/0001-31;FLEURY S/A
Ação;GOLL4;06.164.253/0001-87;GOL S/A
Ação;HYPE3;02.932.074/0001-91;HYPERA S/A
Ação;ITSA4;61.532.644/0001-15;ITAU S/A
Ação;IVVB11;19.909.560/0001-91;ISHARES S&P 500
Ação;MGLU3;47.960.950/0001-21;MAGAZINE LUIZA S/A
Ação;MYPK3;61.156.113/0001-75;IOCHPE-MAXION S/A
Ação;PETR4;33.000.167/0001-01;PETROBRAS S/A
Ação;RENT3;16.670.085/0001-55;LOCALIZA S/A
Ação;SLCE3;89.096.457/0001-55;SLC AGRICOLA S/A
Ação;TSMC34;03.082.929/0001-03;TAIWAN SEMICONDUCTOR
Ação;VALE3;33.592.510/0001-54;VALE S/A
Ação;VIIA3;33.041.260/0652-90;VIA VAREJO S/A
Ação;WEGE3;84.429.695/0001-11;WEG S/A
Ação;HASH11;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX
FII;ABCP11;01.201.140/0001-90;GRAND PLAZA SHOPPING
FII;ALZR11;28.737.771/0001-85;ALIANZA TRUST RENDA IMOBILIARIA
FII;BTLG11;11.839.593/0001-09;BTG PACTUAL LOGISTICA
FII;HGCR11;11.160.521/0001-22;CSHG RECEBIVEIS IMOBILIÁRIOS
FII;HGLG11;11.728.688/0001-47;CSHG LOGISTICA
FII;HGRE11;09.072.017/0001-29;CSHG REAL ESTATE
FII;HGRU11;29.641.226/0001-53;CSHG RENDA URBANA
FII;MALL11;26.499.833/0001-32;MALLS BRASIL PLURAL
FII;PVBI11;35.652.102/0001-76;VBI PRIME PROPERTIES
FII;RBRP11;21.408.063/0001-51;RBR PROPERTIES
FII;RBRR11;29.467.977/0001-03;RBR RENDIMENTO HIGH GRADE
FII;SNFF11;40.011.225/0001-68;SUNO FUNDO DE FUNDOS
FII;VRTA11;11.664.201/0001-00;FATOR VERITA
FII;XPLG11;26.502.794/0001-85;XP LOG
FII;XPML11;28.757.546/0001-00;XP MALLS
Stock;AAPL
Stock;ALB
Stock;AMZN
Stock;BWA
Stock;DIS
Stock;FB
Stock;GOOGL
Stock;KO
Stock;MMM
Stock;MSFT
Stock;PFE
Stock;QSR
Stock;SONY
Stock;TSN
Stock;VOO
REIT;DEM
REIT;EIS
REIT;EPR
REIT;EQR
REIT;HERO
REIT;HST
REIT;IAU
REIT;IRM
REIT;O
REIT;OHI
REIT;SPG
REIT;STAG
REIT;VNO
REIT;WPC
