oper_data;oper_cv;oper_corret;oper_tipo;oper_vencto;oper_nome;oper_qtd;oper_preco_unit;oper_valor
01/02/2017;Aplicação;MyCap;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;1,74;3114,45;5419,14
01/02/2017;Aplicação;MyCap;Tesouro IPCA+ com Juros Semestrais;15/05/2035;Tesouro IPCA+ com Juros Semestrais 2035;1,73;3161,99;5470,24
01/03/2017;Aplicação;MyCap;Tesouro IPCA+;15/05/2045;Tesouro IPCA+ 2045;2,98;729,53;2174
02/05/2017;Aplicação;MyCap;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;0,7;3173,74;2221,62
03/07/2017;Aplicação;MyCap;Tesouro Selic;01/03/2023;Tesouro SELIC 2023;0,24;8935,17;2144,44
20/07/2017;Aplicação;MyCap;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;2,92;2106,97;6152,35
01/08/2017;Aplicação;MyCap;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;0,44;2139,15;941,23
08/09/2017;Aplicação;MyCap;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;1,92;3278,89;6295,47
21/09/2017;Aplicação;MyCap;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;4,55;2197,36;9997,99
21/09/2017;Aplicação;MyCap;Tesouro Prefixado;01/01/2023;Tesouro Prefixado 2023;15,18;625,76;9499,04
21/09/2017;Aplicação;MyCap;Tesouro IPCA+;15/05/2035;Tesouro IPCA+ 2035;7,82;1269,64;9928,58
21/09/2017;Aplicação;MyCap;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;3,04;3284,79;9985,76
16/11/2017;Reinvestimento;MyCap;Tesouro IPCA+;15/05/2035;Tesouro IPCA+ 2035;0,09;1197,58;107,78
16/11/2017;Resgate;MyCap;Tesouro Selic;01/03/2023;Tesouro Selic 2023;-0,24;9190,72;2205,77
03/01/2018;Aplicação;MyCap;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;0,93;3322,83;3090,23
03/01/2018;Aplicação;MyCap;Tesouro Prefixado;01/01/2023;Tesouro Prefixado 2023;4,75;630,56;2995,16
15/02/2018;Aplicação;MyCap;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;0,19;3306,9;628,31
27/02/2018;Resgate;MyCap;Tesouro IPCA+;15/05/2045;Tesouro IPCA+ 2045;-2,98;777,33;2316,44
15/05/2018;Reinvestimento;MyCap;Tesouro IPCA+;15/05/2035;Tesouro IPCA+ 2035;0,09;1238,84;111,5
04/06/2018;Resgate;MyCap;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;-7,91;2223,95;17591,44
16/11/2018;Reinvestimento;MyCap;Tesouro IPCA+;15/05/2035;Tesouro IPCA+ 2035;0,09;1389,18;125,03
27/11/2018;Resgate;MyCap;Tesouro IPCA+;15/05/2035;Tesouro IPCA+ 2035;-8,09;1356,46;10973,76
27/11/2018;Resgate;MyCap;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;-8,52;3408,41;29039,65
27/11/2018;Resgate;MyCap;Tesouro Prefixado;01/01/2023;Tesouro Prefixado 2023;-19,93;692,91;13809,7
06/12/2018;Aplicação;BB;Tesouro IPCA+ com Juros Semestrais;15/05/2035;Tesouro IPCA+ com Juros Semestrais 2035;1,14;3498,86;3988,7
20/12/2018;Aplicação;MyCap;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;8,6;3497,98;30082,63
20/12/2018;Aplicação;MyCap;Tesouro Selic;01/03/2023;Tesouro Selic 2023;4,37;9864,21;43106,6
20/12/2018;Aplicação;MyCap;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;20,5;2453,47;50296,14
11/04/2019;Resgate;BB;Tesouro IPCA+ com Juros Semestrais;15/05/2035;Tesouro IPCA+ com Juros Semestrais 2035;-1,14;3798,15;4329,89
15/05/2019;Reinvestimento;MyCap;Tesouro IPCA+;15/05/2035;Tesouro IPCA+ 2035;0,08;1658,08;132,65
02/07/2019;Resgate;MyCap;Tesouro IPCA+;15/05/2035;Tesouro IPCA+ 2035;-0,08;1814,5;145,16
10/07/2019;Transf.Custódia;MyCap;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;-20,5;0;0
10/07/2019;Transf.Custódia;MyCap;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;-8,6;0;0
10/07/2019;Transf.Custódia;MyCap;Tesouro IPCA+ com Juros Semestrais;15/05/2035;Tesouro IPCA+ com Juros Semestrais 2035;-1,73;0;0
10/07/2019;Transf.Custódia;MyCap;Tesouro Selic;01/03/2023;Tesouro Selic 2023;-4,37;0;0
10/07/2019;Transf.Custódia;XP;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;20,5;0;0
10/07/2019;Transf.Custódia;XP;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;8,6;0;0
10/07/2019;Transf.Custódia;XP;Tesouro IPCA+ com Juros Semestrais;15/05/2035;Tesouro IPCA+ com Juros Semestrais 2035;1,73;0;0
10/07/2019;Transf.Custódia;XP;Tesouro Selic;01/03/2023;Tesouro Selic 2023;4,37;0;0
25/07/2019;Resgate;XP;Tesouro Selic;01/03/2023;Tesouro Selic 2023;-0,63;10227,15;6443,1
29/07/2019;Resgate;XP;Tesouro Selic;01/03/2023;Tesouro Selic 2023;-0,13;10232,2;1330,19
09/09/2019;Resgate;XP;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;-2,48;2792,8;6926,14
09/09/2019;Resgate;XP;Tesouro Selic;01/03/2023;Tesouro Selic 2023;-0,43;10302,9;4430,25
09/09/2019;Resgate;XP;Tesouro IPCA+ com Juros Semestrais;15/05/2035;Tesouro IPCA+ com Juros Semestrais 2035;-0,21;4197,76;881,53
09/09/2019;Resgate;XP;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;-1,04;3798,7;3950,65
13/09/2019;Resgate;XP;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;-0,89;2801,37;2493,22
13/09/2019;Resgate;XP;Tesouro Selic;01/03/2023;Tesouro Selic 2023;-0,16;10312,31;1649,97
13/09/2019;Resgate;XP;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;-0,37;3805,72;1408,12
20/09/2019;Resgate;XP;Tesouro Selic;01/03/2023;Tesouro Selic 2023;-3,02;10323,7;31177,57
07/10/2019;Resgate;XP;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;-0,53;2844,38;1507,52
07/10/2019;Resgate;XP;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;-0,39;3878,81;1512,74
15/10/2019;Resgate;XP;Tesouro IPCA+ com Juros Semestrais;15/05/2035;Tesouro IPCA+ com Juros Semestrais 2035;-1,52;4374,39;6649,07
25/11/2019;Resgate;XP;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;-0,86;2911,76;2504,11
25/11/2019;Resgate;XP;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;-0,64;3950,88;2528,56
12/12/2019;Resgate;XP;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;-0,34;2927,27;995,27
12/12/2019;Resgate;XP;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;-0,25;3982;995,5
16/12/2019;Resgate;XP;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;-4,16;3983,98;16573,36
26/12/2019;Aplicação;BB;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;1,7;3975,01;6757,52
26/12/2019;Aplicação;BB;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;0,75;3977,16;2982,87
02/01/2020;Aplicação;BB;Tesouro Selic;01/03/2025;Tesouro Selic 2025;0,96;10462,94;10044,42
07/01/2020;Aplicação;BB;Tesouro Selic;01/03/2025;Tesouro Selic 2025;0,34;10468,32;3559,23
10/01/2020;Resgate;XP;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;-1,7;2943,77;5004,41
16/01/2020;Resgate;BB;Tesouro Selic;01/03/2025;Tesouro Selic 2025;-0,09;10475,56;942,8
14/02/2020;Resgate;BB;Tesouro Selic;01/03/2025;Tesouro Selic 2025;-0,95;10512,79;9987,15
17/02/2020;Reinvestimento;XP;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;0,04;2816,44;112,66
26/02/2020;Resgate;XP;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;-1,75;3954,46;6920,31
13/03/2020;Resgate;BB;Tesouro Selic;01/03/2025;Tesouro Selic 2025;-0,26;10538,37;2739,98
16/04/2020;Resgate;XP;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;-0,04;2715,07;108,6
04/05/2020;Aplicação;BB;Tesouro Selic;01/03/2025;Tesouro Selic 2025;0,47;10594,22;4979,28
04/05/2020;Aplicação;BB;Tesouro Selic;01/03/2025;Tesouro Selic 2025;0,29;10594,22;3072,32
14/05/2020;Resgate;BB;Tesouro Selic;01/03/2025;Tesouro Selic 2025;-0,29;10599,48;3073,85
19/05/2020;Resgate;BB;Tesouro Selic;01/03/2025;Tesouro Selic 2025;-0,01;10603,14;106,03
02/06/2020;Aplicação;XP;Tesouro IPCA+;15/05/2035;Tesouro IPCA+ 2035;2,17;1779,08;3860,6
01/07/2020;Aplicação;BB;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;1,42;2824,83;4011,26
30/07/2020;Resgate;BB;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;-1,42;2893,19;4108,33
30/07/2020;Resgate;BB;Tesouro IPCA+ com Juros Semestrais;15/08/2026;Tesouro IPCA+ com Juros Semestrais 2026;-2,45;4108,8;10066,56
30/07/2020;Resgate;BB;Tesouro Selic;01/03/2025;Tesouro Selic 2025;-0,46;10653,79;4900,74
30/07/2020;Resgate;XP;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;-1,61;3114,87;5014,94
30/07/2020;Resgate;XP;Tesouro IPCA+;15/05/2035;Tesouro IPCA+ 2035;-2,17;1959,67;4252,48
02/09/2020;Aplicação;BB;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;2,09;2876,05;6010,94
08/09/2020;Aplicação;BB;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;0,53;2883,03;1528,01
12/11/2020;Aplicação;BB;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;7;2858,18;20007,26
22/12/2020;Aplicação;BB;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;2,9;2973,02;8621,76
04/01/2021;Aplicação;BB;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;4,98;3012,68;15003,15
21/01/2021;Aplicação;BB;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;3,05;2956,2;9016,41
01/02/2021;Aplicação;BB;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;2,86;2979,38;8521,03
19/03/2021;Aplicação;XP;Tesouro Selic;01/03/2027;Tesouro Selic 2027;0,67;10588,93;7094,58
03/05/2021;Aplicação;BB;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;1,02;2943,52;3002,39
18/06/2021;Resgate;XP;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;-12,09;3185,83;38516,68
06/08/2021;Aplicação;BB;Tesouro Prefixado;01/01/2026;Tesouro Pre 2026;11;673,39;7407,29
06/08/2021;Aplicação;Inter;Tesouro Prefixado;01/07/2024;Tesouro Pre 2024;10;776,3;7763
06/08/2021;Resgate;XP;Tesouro Selic;01/03/2027;Tesouro Selic 2027;-0,67;10775,27;7219,43
01/10/2021;Aplicação;Inter;Tesouro Prefixado;01/07/2024;Tesouro Pre 2024;9,12;767,47;6999,33
09/11/2021;Aplicação;XP;Tesouro Selic;01/03/2027;Tesouro Selic 2027;0,95;10952,22;10404,61
23/11/2021;Resgate;XP;Tesouro Selic;01/03/2027;Tesouro SELIC 2027;-0,95;10975,32;10426,55
